UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10007800,The University of the West of Scotland,UWS,U40,,103,
10007801,The University of Plymouth,PLUMN,P60,,76,
10007802,The University of Reading,READG,R12,,32,175
10007803,The University of St Andrews,STA,S36,,3,77
10007804,The University of Stirling,STIRL,S75,,58,385
10007805,The University of Strathclyde,STRAT,S78,,51,272
10007806,The University of Sussex,SUSX,S90,,20,187
10007807,University of Ulster,ULS,U20,,79,
10007811,Bishop Grosseteste University,BGU7,B38,,,
10007812,University of London Institute in Paris,PARIS,P26,,,
10007814,Cardiff University,CARDF,C15,Russell  ,33,140
10007816,The Royal Central School of Speech and Drama,CSSD,C35,,,
10007823,Edge Hill University,EHU,E42,,64,
10007825,Guildhall School of Music and Drama,,,,,
10007832,Newman University,NWMAN,N36,,110,
10007833,Glyndŵr University,GLYND,G53,,119,
10007835,Royal Academy of Music,,,,,
10007837,Royal Northern College of Music,,,,,
10007842,University of Cumbria,IPC,C99,,117,
10007843,"St Mary's University, Twickenham",SMARY,S64,,106,
10007848,University of Chester,CHSTR,C55,,65,
10007849,University of Abertay Dundee,ABTAY,A30,,85,
10007850,The University of Bath,BATH,B16,,10,159
10007851,University of Derby,DERBY,D39,,48,
10007852,The University of Dundee,DUND,D65,,28,244
10007854,Cardiff Metropolitan University,CUWIC,C20,,91,
10007855,Swansea University,SWAN,S93,,39,390
10007856,Aberystwyth University,ABWTH,A40,,108,
10007857,Bangor University,BANGR,B06,,55,
10007858,University of Wales Trinity Saint David,SMU,S96,,,
10008010,Stranmillis University College,SUCB,S79,,,
10008017,Trinity Laban Conservatoire of Music and Dance,,,,,
10008026,St Mary's University College,,,,,
10008640,Falmouth University,FAL,F33,,21,
10014001,University Campus Suffolk,UCS,S82,,97,
10037449,University of St Mark and St John,PMARJ,P63,,,
10040812,Harper Adams University,HAUC,H12,,,
99999997,Medway School of Pharmacy,,,,,
99999998,Hull York Medical School,HYMS,H75,,,
99999999,Brighton and Sussex Medical School,BSMS,B74,,,
10000000,Poppleton University,,,,,
10007937,GSM London,GSM,G74,,,
10008289,IFS University College,IFSS,I55,,,
10008362,London School of Science and Technology Limited,,,,,
10020416,Mattersey Hall,,,,,
10023454,Moorlands College,,,,,
10031982,BPP University,,,,,
10035638,Institute of Contemporary Music Performance,ICMP,I25,,,
10039956,The University of Law,LAW,L17,,,
10000055,Abingdon and Witney College,AWC,A14,,,
10000093,Accrington and Rossendale College,ARC,A44,,,
10000256,Alton College,,,,,
10000275,Amersham and Wycombe College,AMWYC,A55,,,
10000409,Ashton Sixth Form College,,,,,
10000415,Askham Bryan College,ABC,A70,,,
10000473,Aylesbury College,,,,,
10000528,Barking and Dagenham College,BARK,B11,,,
10000534,Barnfield College,BARNF,B09,,,
10000536,Barnsley College,BARNF,B13,,,
10000560,Basingstoke College of Technology,BCOT,B15,,,
10000610,Bedford College,BEDF,B23,,,
10000654,The Berkshire College of Agriculture (BCA),BCS,B42,,,
10000670,Bexhill College,,,,,
10000720,Bishop Auckland College,,,,,
10000721,Bishop Burton College,BISH,B37,,,
10000747,Blackburn College,BLACL,B40,,,
10000754,Blackpool and the Fylde College,BLACK,B41,,,
10000794,Bolton College,BOLTC,B46,,,
10000812,Boston College,,,,,
10000820,The Bournemouth and Poole College,BPOOL,B49,,,
10000825,Bournville College,BOURN,B48,,,
10000840,Bradford College,BRC,B60,,,
10000878,Bridgwater College,BRIDG,B70,,,
10000944,Brockenhurst College,,,,,
10000948,Bromley College of Further and Higher Education,BEXL,B36,,,
10000950,Brooklands College,BROOK,B83,,,
10000952,BMC (Brooksby Melton College),BROKS,B92,,,
10001000,Burnley College,,,,,
10001005,Bury College,BURY,B93,,,
10001093,Calderdale College,CALD,C02,,,
10001144,Canterbury College,CANT,C12,,,
10001196,Carlisle College,,,,,
10001207,Carshalton College,CARC,C24,,,
10001378,Chesterfield College,CHEST,C56,,,
10001446,Cirencester College,,,,,
10001457,City College Brighton and Hove,CCBH,B76,,,
10001467,City of Bristol College,BCBC,B77,,,
10001465,Bath College,BATHC,B21,,,
10001474,City of Stoke-on-Trent Sixth Form College,,,,,
10001475,Sunderland College,CSUND,C69,,,
10001476,City of Westminster College,WESTCL,W51,,,
10001503,Cleveland College of Art and Design,CLEVE,C71,,,
10001535,Colchester Institute,CINST,C75,,,
10001548,"The College of Haringey, Enfield and North East London",CHEN,H08,,,
10001549,The College of North West London,,,,,
10001743,Craven College,CRAV,C88,,,
10001744,Central Sussex College,,,,,
10001778,Croydon College,CROY,C92,,,
10001850,Darlington College,,,,,
10001897,Dearne Valley College,DVC,D22,,,
10001919,Derby College,DCOL,D38,,,
10002005,Doncaster College,DONC,D52,,,
10002061,Central Bedfordshire College,CBED,C27,,,
10002094,"Ealing, Hammersmith and West London College",EHWL,E10,,,
10002107,East Berkshire College,,,,,
10002126,East Riding College,ERC,E29,,,
10002130,East Surrey College,ESURR,E32,,,
10002143,Eastleigh College,,,,,
10002370,Exeter College,EXCO,E81,,,
10002412,Farnborough College of Technology,FCOT,F66,,,
10002599,Furness College,FURN,F95,,,
10002638,Gateshead College,GATE,G09,,,
10002696,Gloucestershire College,GCOL,G45,,,
10002743,Grantham College,,,,,
10002755,Great Yarmouth College,,,,,
10002815,Guildford College,GUILD,G90,,,
10002852,Halesowen College,HALES,H04,,,
10002863,Riverside College,,,,,
10002917,Hartlepool College of Further Education,,,,,
10002919,Hartpury College,HARTP,H22,,,
10002923,Sussex Coast College Hastings,SCCH,S83,,,
10002935,Havering College of Further and Higher Education,HAVC,H14,,,
10003010,Henley College Coventry,HENC,H21,,,
10003022,Hereford College of Arts,HERE,H18,,,
10003023,Herefordshire and Ludlow College,,,,,
10003035,Hertford Regional College,HRC,H37,,,
10003128,Holy Cross College,HCSFC,H51,,,
10003146,Hopwood Hall College,HOPH,H54,,,
10003189,Kirklees College,KIRK,K90,,,
10003193,Hugh Baird College,HBC,H65,,,
10003200,Hull College,HULLC,H73,,,
10003406,The Isle of Wight College,,,,,
10003558,Kendal College,KEND,K16,,,
10003625,King Edward VI College Stourbridge,,,,,
10003674,Kingston College,KCOL,K83,,,
10003676,Kingston Maurward College,KMC,K85,,,
10003708,Knowsley Community College,KNOW,K96,,,
10003753,Lakes College West Cumbria,LCWC,L05,,,
