UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10008007,St Francis Xavier Sixth Form College,,,,,
10008074,Tring Park School for the Performing Arts,,,,,
10008110,Blake Hall College Limited,,,,,
10008122,Brit School for Performing Arts and Technology,,,,,
10008211,East London College Limited,,,,,
10008229,Ethames Graduate School Limited,,,,,
10008637,Elmhurst School for Dance,,,,,
10008655,Longley Park Sixth Form College,,,,,
10008899,The Ashridge (Bonar Law Memorial) Trust,,,,,
10009477,KYRA,,,,,
10009490,Home Study Courses Limited,,,,,
10009732,Newham Community Renewal Programme Limited (The Learning Centre Woodgrange),,,,,
10009925,St John's College Nottingham Limited,,,,,
10009947,St Nicholas Preparatory School Limited,,,,,
10009975,Bowling College,,,,,
10010172,Hawkwood College Limited,,,,,
10010213,Inter-Ed UK Limited,,,,,
10010227,The Kingham Hill Trust,,,,,
10010267,CFE (Research and Consulting) Limited,,,,,
10010457,Spirit SSR Limited,,,,,
10010497,"Welbeck, the Defence Sixth Form College",,,,,
10010565,London Academy of Management Sciences Limited,,,,,
10010822,Midlands Academy of Dance and Drama Limited,,,,,
10012766,Kent Police and Crime Commissioner,,,,,
10012807,Integrated Arts in Therapy and Education Limited,,,,,
10012814,Henshaw's College,,,,,
10012984,Fire Service College (DCLG),,,,,
10013357,The Academy for Contemporary Music Limited,ACM,A48,,,
10013987,Mary Hare School,,,,,
10014157,Capita Business Services Limited,,,,,
10014199,Veolia Environnement Development Centre Limited,,,,,
10016538,Missenden Abbey Adult Education College,,,,,
10016736,"St Mary's College, Liverpool",,,,,
10017276,Putteridge High School,,,,,
10017637,Sunfield School,,,,,
10017718,The Bridge School,,,,,
10017790,"St Mary's College, Southampton",,,,,
10018361,Centre for Advanced Studies Limited,,,,,
10019245,Informa UK Limited,,,,,
10020381,Tavistock and Portman NHS Foundation Trust,,,,,
10020436,The Royal School of Needlework,,,,,
10020571,The Gestalt Centre,,,,,
10020676,Into Newcastle University LLP,,,,,
10020883,Eastwood Park Limited,,,,,
10021373,Oasis Charitable Trust,,,,,
10022061,Skills and Work Solutions Limited,,,,,
10023441,City Banking College Limited,,,,,
10023442,The College of Osteopaths,,,,,
10023445,The International College of Oriental Medicine (UK) Limited,,,,,
10023525,The Rochdale Sixth Form College,,,,,
10026090,Williams College UK Limited,,,,,
10026751,Cats College London,,,,,
10026852,London School of Management and Science Limited,,,,,
10028607,KLM UK Engineering Limited,,,,,
10029212,St George's Academy,,,,,
10029499,Martin Brunner,,,,,
10029916,Lowestoft Sixth Form College,,,,,
10030342,Black Country Partnership NHS Foundation Trust,,,,,
10030776,St Mellitus College Trust,,,,,
10030943,Lindisfarne Regional Training Partnership,,,,,
10030944,The Taunton Academy,,,,,
10030973,Westminster Theological Centre,,,,,
10032037,Animal Health Trust,,,,,
10032038,The Babraham Institute,,,,,
10032043,The Bulmer Foundation,,,,,
10032094,Franciscan International Study Centre,,,,,
10032225,Branston Community Academy,,,,,
10032287,Genome Research Limited,,,,,
10033438,Royal Navy,,,,,
10033440,British Army,,,,,
10033441,Royal Air Force,,,,,
10034324,Court Theatre Training Company Limited,,,,,
10038501,The NDA Foundation,,,,,
10042093,Matrix Training Consultancy Limited,,,,,
10043179,The South East Institute For Theological Education,,,,,
10007777,Royal College of Art,,,,,
10007769,London Business School,,,,,
10007771,London School of Hygiene and Tropical Medicine,,,,,
10007797,University of London (Institutes and activities),,,,,
10003324,The Institute of Cancer Research,,,,,
10004511,The National Film and Television School,,,,,
10008574,The University of Wales (central functions),,,,,
10034753,Tor Bridge High,,,,,
10000330,Aquinas College,,,,,
10000533,Barnet and Southgate College,BSC,B08,,,
10000552,Barton Peveril College,,,,,
10000695,Bilborough College,,,,,
10000702,Birkenhead Sixth Form College,,,,,
10000796,Bolton Sixth Form College,,,,,
10000833,Bracknell and Wokingham College,,,,,
10001116,Cambridge Regional College,CRC,C09,,,
10001148,Capel Manor College,CAPMC,C13,,,
10001165,Cardinal Newman College,,,,,
10001201,Carmel College,,,,,
10001346,Cheadle and Marple Sixth Form College,,,,,
10001353,Chelmsford College,,,,,
10001458,City College Coventry,CCC,C64,,,
10001463,City Lit,,,,,
10001550,The College of Richard Collyer in Horsham,,,,,
10001705,Coulsdon College,,,,,
10001934,Derwentside College,,,,,
10002111,East Durham College,,,,,
10002297,Epping Forest College,,,,,
10002314,Esher College,,,,,
10002570,Franklin College,,,,,
10002710,Godalming College,,,,,
10002770,Greenhead College,,,,,
10002899,Harlow College,,,,,
10002907,Harrow College,HARCO,H11,,,
10002918,Hartlepool Sixth Form College,,,,,
10002929,Havant College,,,,,
10003011,The Henley College,,,,,
10003029,Hereward College of Further Education,,,,,
10003088,Hillcroft College,,,,,
10003188,Huddersfield New College,,,,,
10003427,Itchen College,,,,,
10003500,John Ruskin College,JRC,J75,,,
10003564,Kensington and Chelsea College,KCC,K14,,,
10003624,King Edward VI College Nuneaton,,,,,
10003640,King George V College,,,,,
10003755,Lambeth College,,,,,
10003899,Leyton Sixth Form College,,,,,
10004108,Loreto College,,,,,
10004204,The Marine Society College of the Sea,,,,,
10004432,Morley College,,,,,
10004578,New College Pontefract,,,,,
10004739,Northern College for Residential Adult Education Limited,,,,,
10004969,Palmer's College,,,,,
10005001,Paston College,,,,,
10005410,Redbridge College,,,,,
10005429,Regent College,,,,,
10005435,Reigate College,,,,,
10005206,Priestley College,,,,,
10005220,Prior Pursglove College,,,,,
10005339,Queen Mary's College,QMUL,Q50,Russell  ,,
10005158,Portsmouth College,,,,,
10005466,Richmond Adult Community College (RACC),,,,,
10005810,Shipley College,,,,,
10005972,South Cheshire College,SCC,S41,,,
10006195,St John Rigby RC Sixth Form College,,,,,
10006379,Strode's College,,,,,
10006892,Thomas Rotherham College,,,,,
10006958,Totton College,,,,,
10006963,Tower Hamlets College,,,,,
10007011,Northampton College,,,,,
10007212,Varndean College,,,,,
10007321,Waltham Forest College,,,,,
10007364,Workers' Educational Association,,,,,
10007503,Wilberforce College,,,,,
10007546,Winstanley College,,,,,
10007566,Woking College,,,,,
10007609,Woodhouse College,,,,,
10007636,The Working Men's College,,,,,
10007643,Worthing College,,,,,
10007671,Wyggeston and Queen Elizabeth I College,,,,,
10007682,Xaverian College,,,,,
10007862,Ystrad Mynach College,,,,,
10007875,The Mary Ward Centre (AE Centre),,,,,
10007916,The College of West Anglia,WESTA,W35,,,
10007949,Huntingdonshire Regional College,,,,,
10008025,Worcester Sixth Form College,,,,,
10008641,Fircroft College of Adult Education,,,,,
10009074,Hilderstone College,,,,,
10009439,Stanmore College,,,,,
10009614,Neath Port Talbot College,NEATH,N13,,,
10013036,WEA Cymru,,,,,
10001696,Cornwall College,BICOL,B18,,,
10009886,The Co-operative Colllege,,,,,
10016359,St David's Catholic College,,,,,
10030408,Gower College,GCOLS,G59,,,
10041295,Coleg Cambria,,,,,
10002843,Hadlow College,HADCO,H03,,,
10032351,Bodmin College,,,,,
10013293,City of London College,CLC,C74,,,
10046763,Woolwich Polytechnic School,,,,,
10002869,The Hammond School,,,,,
10037822,Tottenham Hotspur Foundation,THF,T60,,,
10045652,Whitefield Schools and Centre,,,,,
10034286,Christ College London,,,,,
10000939,West London College,,,,,
10003284,Inchbald School of Design,,,,,
10003365,Scottish School of Christian Mission,,,,,
10004704,The Sage Gateshead,,,,,
10006188,St John Bosco Arts College,,,,,
10006288,St Mary's Catholic High School,,,,,
10006894,Thomas Telford School,,,,,
10008098,Bellerbys College,,,,,
10008172,"College of Agriculture, Food and Rural Enterprise",CAFRE,A45,,,
10008694,The Warburg Institute,,,,,
10010683,Basis Training (UK) Limited,,,,,
10012951,King's College Hospital NHS Foundation Trust,,,,,
10013139,NHS Lothian,,,,,
10013267,Leeds and York Partnership NHS Foundation Trust,,,,,
10016906,Parlmerston School,,,,,
10017014,Evelina Hospital School,,,,,
10017408,Scarborough College,,,,,
10021243,Oxford Health NHS Foundation Trust,,,,,
10023464,Trinity College Bristol,,,,,
10024217,Press Association Training,,,,,
10026925,Tavistock Centre for Couple Relationships,,,,,
10028288,Woodland Grange,,,,,
10032072,The Cambridge Theological Federation,,,,,
10032093,The Foundation for Conductive Education,,,,,
10032285,"Ripon College, Cuddesdon",,,,,
10032379,Harrogate College,HARRC,H07,,,
10033239,Callington Community College,,,,,
10033372,Congleton High School,,,,,
10034870,Tuxfod Academy,,,,,
10034973,Staffordshire University Academy,,,,,
10035880,Cranford College Limited,,,,,
10036745,The Blue Coat School,,,,,
10037245,Raindance,,,,,
10039481,Management Development Services Ltd,,,,,
10042872,The Outreach Organisation,,,,,
10043831,International Correspondence Schools Ltd,,,,,
10044277,Robert Wilkinson Primary School,,,,,
10044370,PB Coaching,,,,,
10044651,Coleg Ceredigion,,,,,
10044953,Improve International Limited,,,,,
10045107,St Mary and St Paul's CofE Primary School,,,,,
10045275,Nexus Trust,,,,,
10045793,Iron Mill College,,,,,
10047921,Brewlab Limited,,,,,
10048329,Pembroke College Limited,,,,,
10052515,INTO Queen's University Belfast,,,,,
10053591,St Mary's and St Thomas' CofE Primary School,,,,,
10053960,Kidderminster College,,,,,
10004603,Newcastle under Lyme College (NULC),,,,,
10001004,Burton and South Derbyshire College,,,,,
10031239,Liverpool Media Academy,,,,,
10022022,London School of Osteopathy,,,,,
